organ,col name,mean,min,max,std,range
BronchialTree,Max3_Dose,11.874374858497513,1.586429691,35.69644312,7.555541390467501,34.110013429
BronchialTree,Max_sqrt(grad(Dose)*Dose)_4,5.491451486589575,0.938993788,16.35681814,3.3037321462192355,15.417824352000002
BronchialTree,Max4_Dose,11.726868222537687,1.964869029,35.03203701,7.437000775619636,33.067167981000004
BronchialTree,Max_sqrt(grad(Dose)*Dose)_5,5.351852281702246,0.938157077,16.11925941,3.2122325330216195,15.181102333000002
BronchialTree,Max5_Dose,11.580127721864324,1.9693431,35.67012415,7.330953037297377,33.700781049999996
BronchialTree,V1.0 dosevol,19.788996848739497,0.0,57.375,13.990169833354523,57.375
BronchialTree,V1.0 dosevol/volume,0.581593058242142,0.0,1.0,0.33067070149009425,1.0
BronchialTree,V2.0 dosevol,14.508075105042018,0.0,51.046875,12.969576914024202,51.046875
BronchialTree,V2.0 dosevol/volume,0.42181396886632566,0.0,1.0,0.34249852387247237,1.0
BronchialTree,V5.0 dosevol,6.991859243697479,0.0,37.859375,9.718784415924716,37.859375
BronchialTree,V5.0 dosevol/volume,0.21474735341223566,0.0,0.939690302,0.2958905305557773,0.939690302
BronchialTree,V10.0 dosevol,3.0018382352941178,0.0,27.5625,5.867120382344403,27.5625
BronchialTree,V10.0 dosevol/volume,0.09708113705965246,0.0,0.673186634,0.17493691335170583,0.673186634
BronchialTree,V15.0 dosevol,1.1993828781512605,0.0,18.15625,3.485699869207693,18.15625
BronchialTree,V15.0 dosevol/volume,0.03488735681737417,0.0,0.449470253,0.08780560723021223,0.449470253
BronchialTree,V20.0 dosevol,0.5476628151260504,0.0,12.390625,2.2261248193325955,12.390625
BronchialTree,V20.0 dosevol/volume,0.014101830040525223,0.0,0.311735941,0.053192788900361374,0.311735941
BronchialTree,Arm,nan,nan,nan,nan,nan
BronchialTree,arm,1.5168067226890756,1,2,0.5007706007282885,1
BronchialTree,Arm ,nan,nan,nan,nan,nan
BronchialTree,V50.0 dosevol,nan,nan,nan,nan,nan
BronchialTree,V50.0 dosevol/volume,nan,nan,nan,nan,nan
BronchialTree,V55.0 dosevol,nan,nan,nan,nan,nan
BronchialTree,V55.0 dosevol/volume,nan,nan,nan,nan,nan
BronchialTree,V60.0 dosevol,nan,nan,nan,nan,nan
